group,names,scores,logfoldchanges,pvals,pvals_adj
Cluster 1,POLK,4.3084464,0.30301157,1.644052029663842e-05,3.1967580006104947e-05
Cluster 1,IZUMO2,4.3068204,2.049954,1.656180653028128e-05,3.219647995734949e-05
Cluster 1,MBOAT2,4.306577,0.35467932,1.6579993085565972e-05,3.222836546169541e-05
Cluster 1,ZNF34,4.3026557,1.4254066,1.68763132549709e-05,3.2793765711639354e-05
Cluster 1,GALNT7,4.300768,0.75144005,1.7020723833174764e-05,3.306726530171812e-05
Cluster 1,GOT1,4.3005633,1.0069034,1.7036459322213637e-05,3.3094275219506655e-05
Cluster 1,BTF3,4.2959085,0.8612253,1.7397928683553588e-05,3.3789180056744537e-05
Cluster 1,TCEAL1,4.295273,0.72869146,1.7447853036668616e-05,3.388249598195095e-05
Cluster 1,NEK11,4.2918215,1.197939,1.772132721516801e-05,3.440616351483754e-05
Cluster 1,ZNF107,4.2909956,1.5289272,1.7787397735248044e-05,3.453072761805087e-05
Cluster 1,NCKAP5L,4.289708,0.4671208,1.789081683608667e-05,3.4727762058051504e-05
Cluster 1,PI4K2A,4.288688,0.5508205,1.7973143080770192e-05,3.4880066389312e-05
Cluster 1,PARS2,4.2849216,1.4797847,1.828034495439933e-05,3.5468622454769856e-05
Cluster 1,EXOSC1,4.2839217,0.6444748,1.836276363219565e-05,3.562470838742899e-05
Cluster 1,SMO,4.277359,0.79379123,1.891236466750501e-05,3.668702128755027e-05
Cluster 1,SVIP,4.277319,1.0504645,1.8915783723285404e-05,3.668971240333918e-05
Cluster 1,CCDC150,4.275749,2.6388178,1.90495435526606e-05,3.69451892894367e-05
Cluster 1,RBM4B,4.267796,1.2573112,1.9741355854556657e-05,3.8278686139974666e-05
Cluster 1,DMXL1,4.2677584,0.5081471,1.974469824240833e-05,3.8281056566610426e-05
Cluster 1,RRM2B,4.2666078,1.0078236,1.984674934805252e-05,3.84747825794023e-05
Cluster 1,PANK4,4.266421,0.69534844,1.986337938241807e-05,3.85028880300242e-05
Cluster 1,PIGB,4.265785,0.9757923,1.992005141289975e-05,3.8608595944418136e-05
Cluster 1,SYT17,4.2652287,1.5046965,1.9969732445190777e-05,3.870073282842402e-05
