"group","names","p.value","FDR","summary.AUC","AUC.VEGFA.","AUC.Surface.epithelium","AUC.Outer.surface","AUC.Crypt","AUC.FDCSP.epithelium","AUC.Basal.cells"
"Basal cells","PABPC1",0.903663646749205,1,0.401315789473684,0.514354066985646,0.484313725490196,0.532163742690059,0.415870683321087,0.401315789473684,NA
"Basal cells","RPL37A",0.910820862154599,1,0.400440852314475,0.770334928229665,0.794117647058823,0.730994152046784,0.400440852314475,0.401315789473684,NA
"Basal cells","PYCARD",0.931913141642449,1,0.397501836884644,0.488038277511962,0.488235294117647,0.502923976608187,0.397501836884644,0.471491228070175,NA
"Basal cells","RPL14",0.948125287905585,1,0.396032329169728,0.811004784688995,0.749019607843137,0.801169590643275,0.396032329169728,0.451754385964912,NA
"Basal cells","RPL36",0.950868658180364,1,0.393828067597355,0.787081339712919,0.858823529411765,0.777777777777778,0.393828067597355,0.484649122807018,NA
"Basal cells","RPS23",0.947388065325422,1,0.390889052167524,0.677033492822967,0.890196078431372,0.760233918128655,0.390889052167524,0.506578947368421,NA
"Basal cells","ATP5MD",0.951085143286379,1,0.390154298310066,0.42822966507177,0.462745098039216,0.39766081871345,0.390154298310066,0.359649122807018,NA
"Basal cells","GSTP1",0.961115894288287,1,0.388684790595151,0.69377990430622,0.727450980392157,0.771929824561403,0.388684790595151,0.484649122807017,NA
"Basal cells","RPS14",0.939896442735737,1,0.387950036737693,0.81578947368421,0.868627450980392,0.842105263157895,0.387950036737693,0.491228070175439,NA
"Basal cells","SERBP1",0.919923107904277,1,0.385964912280702,0.471291866028708,0.588235294117647,0.56140350877193,0.423218221895665,0.385964912280702,NA
"Basal cells","RPS6",0.966297728665301,1,0.385011021307862,0.782296650717703,0.841176470588235,0.865497076023392,0.385011021307862,0.506578947368421,NA
"Basal cells","COX5A",0.904597917699481,1,0.381578947368421,0.480861244019139,0.488235294117647,0.555555555555556,0.418074944893461,0.381578947368421,NA
"Basal cells","RPS21",0.974153111479587,1,0.380602498163115,0.648325358851675,0.705882352941177,0.596491228070175,0.380602498163115,0.513157894736842,NA
"Basal cells","IGLC3",0.921097260775542,1,0.380382775119617,0.380382775119617,0.480392156862745,0.47953216374269,0.422483468038207,0.390350877192983,NA
"Basal cells","SNRPB",0.929114645185155,1,0.379385964912281,0.449760765550239,0.466666666666667,0.43859649122807,0.423218221895665,0.379385964912281,NA
"Basal cells","MIF",0.972487342585245,1,0.3791329904482,0.583732057416268,0.533333333333333,0.526315789473684,0.3791329904482,0.403508771929825,NA
"Basal cells","UQCR10",0.9650647374697,1,0.377663482733284,0.452153110047847,0.384313725490196,0.467836257309941,0.377663482733284,0.383771929824561,NA
"Basal cells","RPL32",0.949862895262532,1,0.376928728875827,0.782296650717703,0.901960784313726,0.812865497076023,0.376928728875827,0.416666666666667,NA
"Basal cells","BTG1",0.965967123189108,1,0.376470588235294,0.435406698564593,0.376470588235294,0.485380116959064,0.456282145481264,0.423245614035088,NA
"Basal cells","HIST1H4C",0.988050598148055,1,0.374509803921569,0.488038277511962,0.374509803921569,0.368421052631579,0.369581190301249,0.337719298245614,NA
"Basal cells","RPL19",0.973392051753709,1,0.373989713445996,0.789473684210526,0.858823529411765,0.713450292397661,0.373989713445996,0.486842105263158,NA
"Basal cells","NOP53",0.979766235771965,1,0.37252020573108,0.34688995215311,0.405882352941176,0.39766081871345,0.37252020573108,0.381578947368421,NA
"Basal cells","RPL23A",0.921724687034106,1,0.370614035087719,0.712918660287081,0.847058823529412,0.742690058479532,0.487876561351947,0.370614035087719,NA
"Basal cells","RPL22",0.971402294513203,1,0.369581190301249,0.700956937799043,0.749019607843137,0.760233918128655,0.369581190301249,0.526315789473684,NA
"Basal cells","RPL18A",0.988471633114038,1,0.369581190301249,0.767942583732057,0.858823529411765,0.812865497076023,0.369581190301249,0.370614035087719,NA
"Basal cells","BRK1",0.978176661911695,1,0.368846436443791,0.411483253588517,0.36078431372549,0.43859649122807,0.368846436443791,0.355263157894737,NA
"Basal cells","RPL38",0.975665859783752,1,0.368846436443791,0.811004784688995,0.774509803921569,0.760233918128655,0.368846436443791,0.467105263157895,NA
"Basal cells","NDUFS5",0.972742878450561,1,0.368111682586334,0.41866028708134,0.366666666666667,0.415204678362573,0.368111682586334,0.414473684210526,NA
"Basal cells","RPL5",0.972233936063447,1,0.367376928728876,0.77511961722488,0.835294117647059,0.777777777777778,0.367376928728876,0.478070175438596,NA
"Basal cells","RPL13A",0.967979949447817,1,0.366642174871418,0.717703349282297,0.827450980392157,0.713450292397661,0.366642174871418,0.43421052631579,NA
"Basal cells","RPL11",0.971735068260696,1,0.366642174871418,0.825358851674641,0.845098039215686,0.766081871345029,0.366642174871418,0.442982456140351,NA
"Basal cells","GYPC",0.990549467402038,1,0.365172667156503,0.363636363636364,0.419607843137255,0.391812865497076,0.365172667156503,0.357456140350877,NA
"Basal cells","HLA-DPA1",0.964523061868664,1,0.364035087719298,0.473684210526316,0.490196078431373,0.403508771929825,0.414401175606172,0.364035087719298,NA
"Basal cells","RPL26",0.983663650421148,1,0.363703159441587,0.822966507177033,0.876470588235294,0.713450292397661,0.363703159441587,0.49780701754386,NA
"Basal cells","EEF1G",0.992309465326021,1,0.360029390154298,0.61244019138756,0.798039215686275,0.7953216374269,0.360029390154298,0.49780701754386,NA
"Basal cells","KRT14",0.995608086736471,1,0.358823529411765,0.397129186602871,0.358823529411765,0.497076023391813,0.47391623806025,0.43640350877193,NA
"Basal cells","RPLP2",0.989382201400123,1,0.358559882439383,0.808612440191388,0.766666666666667,0.619883040935672,0.358559882439383,0.451754385964912,NA
"Basal cells","RPS9",0.978177523798374,1,0.358559882439383,0.700956937799043,0.76078431372549,0.730994152046784,0.358559882439383,0.539473684210526,NA
"Basal cells","CD74",0.994399547001304,1,0.357825128581925,0.543062200956938,0.584313725490196,0.491228070175439,0.357825128581925,0.471491228070175,NA
"Basal cells","NACA",0.963813929566243,1,0.357456140350877,0.755980861244019,0.788235294117647,0.637426900584795,0.419544452608376,0.357456140350877,NA
"Basal cells","MZT2B",0.968930288059227,1,0.357456140350877,0.471291866028708,0.411764705882353,0.461988304093567,0.387215282880235,0.357456140350877,NA
"Basal cells","YWHAB",0.977163016455377,1,0.357456140350877,0.423444976076555,0.425490196078431,0.538011695906433,0.383541513592946,0.357456140350877,NA
"Basal cells","H3F3A",0.989384373448575,1,0.35635562086701,0.753588516746411,0.658823529411765,0.485380116959064,0.35635562086701,0.530701754385965,NA
"Basal cells","RPS7",0.991576131511616,1,0.35635562086701,0.710526315789474,0.868627450980392,0.68421052631579,0.35635562086701,0.592105263157895,NA
"Basal cells","GNG5",0.990455771617158,1,0.355620867009552,0.416267942583732,0.447058823529412,0.403508771929825,0.355620867009552,0.359649122807018,NA
"Basal cells","TSTD1",0.947023357607016,1,0.355263157894737,0.444976076555024,0.396078431372549,0.432748538011696,0.454077883908891,0.355263157894737,NA
"Basal cells","ATP5F1D",0.963338312035997,1,0.355263157894737,0.38755980861244,0.394117647058824,0.456140350877193,0.39529757531227,0.355263157894737,NA
"Basal cells","CAPG",0.989855718739513,1,0.354151359294636,0.495215311004785,0.372549019607843,0.456140350877193,0.354151359294636,0.403508771929825,NA
"Basal cells","RBX1",0.989918331788198,1,0.353416605437179,0.385167464114833,0.443137254901961,0.409356725146199,0.353416605437179,0.357456140350877,NA
